time,step,value
1732491831.1724606,39775,38.0
1732491834.0495558,39919,38.0
1732491838.7496698,40143,39.0
1732491840.668817,40239,39.0
1732491857.519414,41071,40.0
1732491862.9512706,41343,40.0
1732491882.680694,42319,41.0
1732491884.2794545,42399,41.0
1732491888.4368672,42607,41.0
1732491900.1641712,43183,42.0
1732491904.6453795,43407,42.0
1732491915.840932,43967,42.0
1732491942.182748,45263,44.0
1732491947.9495866,45551,44.0
1732491949.8702574,45647,44.0
1732491957.5532846,46031,44.0
1732491972.4907265,46767,45.0
1732491975.0499449,46895,45.0
1732491986.4769876,47455,46.0
1732491991.5967484,47711,46.0
1732491992.5561895,47759,46.0
1732491995.1128964,47887,46.0
1732491996.0731559,47935,46.0
1732492004.9363406,48367,47.0
1732492014.5479283,48847,47.0
1732492032.5851667,49727,48.0
1732492034.5509944,49823,48.0
1732492039.6791153,50079,48.0
1732492045.3404574,50351,49.0
1732492045.6707084,50367,49.0
1732492056.553122,50911,49.0
1732492059.7536316,51071,49.0
1732492060.71377,51119,49.0
1732492061.0336084,51135,49.0
1732492061.6737654,51167,49.0
1732492061.9962819,51183,49.0
1732492069.9135327,51567,50.0
1732492080.4739013,52095,50.0
1732492093.444225,52719,51.0
1732492103.368521,53215,51.0
1732492112.0311396,53631,52.0
1732492113.6734595,53711,52.0
1732492120.7225292,54063,52.0
1732492126.7004914,54351,53.0
1732492131.525875,54591,53.0
1732492136.7612312,54847,53.0
1732492145.8820019,55295,53.0
1732492146.9300747,55343,54.0
1732492154.9335654,55743,54.0
1732492168.8585808,56415,55.0
1732492175.2597926,56735,55.0
1732492181.0202217,57023,55.0
1732492181.661189,57055,55.0
1732492182.3002536,57087,55.0
1732492184.2201216,57183,55.0
1732492193.075379,57615,56.0
1732492197.555932,57839,56.0
1732492215.3797052,58719,57.0
1732492216.660336,58783,57.0
1732492220.1769109,58959,57.0
1732492232.5566084,59567,58.0
1732492236.7171266,59775,58.0
1732492238.3162613,59855,58.0
1732492243.4400678,60111,58.0
1732492245.0715172,60191,58.0
1732492245.721361,60223,58.0
1732492248.9858012,60383,58.0
1732492259.5372198,60895,59.0
1732492263.3764248,61087,59.0
1732492279.9200733,61903,60.0
1732492283.4413598,62079,60.0
1732492288.884116,62351,60.0
1732492297.743807,62783,61.0
1732492309.9038815,63391,61.0
1732492313.3236282,63551,62.0
1732492314.2833297,63599,62.0
1732492332.5190516,64511,62.0
1732492334.0171452,64575,63.0
1732492337.5394645,64751,63.0
1732492361.29898,65903,64.0
1732492364.8251624,66079,64.0
1732492365.145345,66095,64.0
1732492365.7856348,66127,64.0
1732492367.3867857,66207,64.0
1732492367.707252,66223,64.0
1732492375.606983,66607,65.0
1732492377.2067988,66687,65.0
1732492378.1670752,66735,65.0
1732492380.7274399,66863,65.0
1732492387.1269703,67183,65.0
1732492388.0869417,67231,65.0
1732492388.4073424,67247,65.0
1732492393.2166688,67487,65.0
1732492400.155327,67823,66.0
1732492404.3268507,68031,66.0
1732492404.967041,68063,66.0
1732492420.8629916,68847,67.0
1732492428.5469704,69231,67.0
1732492430.7866683,69343,67.0
1732492432.707739,69439,67.0
1732492440.289002,69807,68.0
1732492441.2500737,69855,68.0
1732492460.0368571,70783,69.0
1732492465.4917483,71055,69.0
1732492472.2140121,71391,69.0
1732492473.1735513,71439,69.0
1732492487.4770498,72143,70.0
1732492488.4366605,72191,70.0
1732492493.5584671,72447,70.0
1732492503.3767178,72927,71.0
1732492512.3371964,73375,71.0
1732492514.8970773,73503,71.0
1732492516.1775713,73567,71.0
1732492518.737113,73695,71.0
1732492522.1536305,73855,72.0
1732492530.4868257,74271,72.0
1732492532.0870163,74351,72.0
1732492537.2070177,74607,72.0
1732492542.2229662,74847,73.0
1732492544.841372,74975,73.0
1732492547.7518036,75119,73.0
1732492554.175399,75439,73.0
1732492554.4961257,75455,73.0
1732492558.3363721,75647,73.0
1732492558.9770887,75679,73.0
1732492571.0405908,76271,74.0
1732492574.8807383,76463,74.0
1732492580.9613645,76767,74.0
1732492588.217029,77119,75.0
1732492594.6172354,77439,75.0
1732492609.887099,78191,76.0
1732492612.7672079,78335,76.0
1732492613.7272036,78383,76.0
1732492631.552621,79263,77.0
1732492638.0583053,79583,77.0
1732492638.734131,79615,77.0
1732492639.061953,79631,77.0
1732492655.9657688,80463,78.0
1732492662.4696662,80783,78.0
1732492664.9449077,80895,78.0
1732492674.9903219,81391,79.0
1732492680.430659,81663,79.0
1732492686.0902932,81935,80.0
1732492688.6504846,82063,80.0
1732492698.5687058,82559,80.0
1732492714.4704175,83343,81.0
1732492723.8007462,83807,81.0
1732492727.294279,83967,81.0
1732492732.5274823,84223,82.0
1732492737.0478432,84447,82.0
1732492743.9384954,84783,82.0
1732492756.633466,85407,83.0
1732492763.7164712,85759,83.0
1732492765.3371162,85839,83.0
1732492780.7604935,86591,84.0
1732492787.178972,86911,84.0
1732492787.81963,86943,84.0
1732492797.9635184,87439,85.0
1732492805.6437547,87823,85.0
1732492809.4839487,88015,85.0
1732492810.1232913,88047,85.0
1732492811.9371774,88127,86.0
1732492823.7764173,88719,86.0
