time,step,value
1730751288.5515397,95,1.6563072204589844
1730751293.257781,255,1.5893104076385498
1730751294.6720793,303,1.737511157989502
1730751297.498765,399,1.7779297828674316
1730751304.9783928,655,1.6850258111953735
1730751305.9081602,687,1.9997068643569946
1730751306.838268,719,1.8749655485153198
1730751307.3025558,735,1.7599010467529297
1730751308.231425,767,1.836396336555481
1730751311.020979,863,1.744809627532959
1730751312.4157858,911,1.5410127639770508
1730751316.6059732,1055,1.526685357093811
1730751319.3959618,1151,1.7821998596191406
1730751319.8603923,1167,1.7860721349716187
1730751320.325753,1183,1.709671974182129
1730751320.791419,1199,1.9153577089309692
1730751323.1166918,1279,1.6657180786132812
1730751326.8421402,1407,1.853625774383545
1730751330.0971167,1519,1.773660659790039
1730751333.8198843,1647,1.8250545263290405
1730751335.2141347,1695,1.93674898147583
1730751335.6792624,1711,1.8033932447433472
1730751338.933814,1823,1.663922667503357
1730751341.2586188,1903,1.6621062755584717
1730751344.9786847,2031,1.8260934352874756
1730751346.839748,2095,1.7990142107009888
1730751351.0251153,2239,1.4098849296569824
1730751352.420313,2287,1.5961811542510986
1730751356.142778,2415,1.7599972486495972
1730751358.4683905,2495,1.7878882884979248
1730751359.8631444,2543,1.6939022541046143
1730751364.0487099,2687,1.6400564908981323
1730751364.5130553,2703,1.76658296585083
1730751368.692822,2847,1.497267723083496
1730751369.156925,2863,1.843012809753418
1730751371.4782643,2943,1.764533281326294
1730751372.4072406,2975,1.86309814453125
1730751372.8711584,2991,1.823582649230957
1730751374.735271,3055,1.6674668788909912
1730751378.4562123,3183,1.5790903568267822
1730751382.1692252,3311,1.7427526712417603
1730751382.6334717,3327,1.8369916677474976
1730751383.0979877,3343,1.8669507503509521
1730751384.9573562,3407,1.9298672676086426
1730751390.067197,3583,1.4302467107772827
1730751392.8574827,3679,1.6869052648544312
1730751395.1792998,3759,1.7226617336273193
1730751396.572684,3807,1.7584800720214844
1730751402.1436677,3999,1.6308172941207886
1730751404.9304194,4095,1.4860121011734009
1730751409.7163546,4175,1.7885301113128662
1730751411.111157,4223,1.4877183437347412
1730751412.9701872,4287,1.5464383363723755
1730751414.8341873,4351,1.5516867637634277
1730751415.7656107,4383,1.4446994066238403
1730751424.5963361,4687,1.6927769184112549
1730751426.9193373,4767,1.645920991897583
1730751427.3841403,4783,2.013559103012085
1730751429.7076476,4863,1.8313443660736084
1730751431.5701401,4927,1.6943719387054443
1730751432.0346148,4943,1.6543359756469727
1730751432.9668677,4975,1.9293040037155151
1730751436.6851237,5103,1.7163963317871094
1730751437.1501195,5119,1.4878613948822021
1730751439.9395807,5215,1.7806448936462402
1730751440.404441,5231,1.8118946552276611
1730751440.8692012,5247,1.745201587677002
1730751442.263588,5295,1.8551025390625
1730751446.4538617,5439,1.4653642177581787
1730751450.173272,5567,1.6624608039855957
1730751457.6131563,5823,1.564514398574829
1730751459.4723315,5887,1.6482245922088623
1730751462.260923,5983,1.967832326889038
1730751464.1202974,6047,1.8219170570373535
1730751465.0500798,6079,1.548446536064148
1730751470.6296058,6271,1.6345738172531128
1730751471.0943563,6287,1.6751222610473633
1730751478.5452738,6543,1.993922233581543
1730751484.623127,6751,1.6401361227035522
1730751485.089436,6767,1.8452458381652832
1730751486.0227852,6799,1.745922327041626
1730751488.8229809,6895,1.7044825553894043
1730751493.0236893,7039,1.7461097240447998
1730751493.958102,7071,1.8454821109771729
1730751494.425337,7087,1.7691375017166138
1730751495.8264084,7135,1.8172882795333862
1730751498.618312,7231,1.639702558517456
1730751502.8037617,7375,1.9699923992156982
1730751504.1982474,7423,1.8217716217041016
1730751504.6647213,7439,1.8472167253494263
1730751508.8499727,7583,1.7285411357879639
1730751509.3144526,7599,1.796879768371582
1730751516.2890952,7839,1.8555675745010376
1730751517.2184637,7871,1.809359073638916
1730751518.1472955,7903,1.7414015531539917
1730751524.654322,8127,1.6089930534362793
1730751529.4344344,8207,1.943697214126587
1730751530.3641202,8239,1.954609990119934
1730751531.7582107,8287,1.5635592937469482
1730751535.4800189,8415,1.5117290019989014
1730751538.2724218,8511,1.5762202739715576
1730751539.2028098,8543,1.599318265914917
1730751540.598522,8591,1.7384644746780396
1730751543.3929925,8687,1.8755528926849365
1730751545.7170956,8767,1.7674740552902222
1730751550.3650749,8927,1.691347599029541
1730751551.2999709,8959,1.8075166940689087
1730751553.1601465,9023,1.6594264507293701
1730751555.9495177,9119,1.7644636631011963
1730751557.8098097,9183,1.9503281116485596
1730751558.2740743,9199,1.7165064811706543
1730751560.598942,9279,1.6705636978149414
1730751561.5287683,9311,1.7527803182601929
1730751561.9935403,9327,1.7813506126403809
1730751562.9227676,9359,1.7250354290008545
1730751563.8525681,9391,1.8485504388809204
1730751564.3167527,9407,1.6325535774230957
1730751566.6581182,9487,1.7208080291748047
1730751567.1230142,9503,1.8850804567337036
1730751571.3105643,9647,1.7307868003845215
1730751574.102512,9743,1.6883275508880615
1730751575.0327442,9775,1.749264121055603
1730751577.3558884,9855,1.8408308029174805
1730751579.679866,9935,1.8146913051605225
1730751580.610146,9967,1.4498900175094604
