time,step,value
1732422147.6679928,231407,225.0
1732422159.6452446,232847,227.0
1732422160.8009713,232991,227.0
1732422163.49942,233327,227.0
1732422171.823577,234335,228.0
1732422174.3385522,234623,229.0
1732422200.1139052,237743,232.0
1732422211.8009853,239167,233.0
1732422222.950155,240527,234.0
1732422230.4977212,241439,235.0
1732422249.8845618,243775,238.0
1732422250.1409938,243807,238.0
1732422254.2647004,244319,238.0
1732422258.3236156,244799,239.0
1732422284.558392,247983,242.0
1732422287.6450183,248367,242.0
1732422295.9948125,249375,243.0
1732422317.4234998,251967,246.0
1732422330.65434,253583,247.0
1732422333.3566878,253919,247.0
1732422350.6470728,255999,249.0
1732422360.0705323,257135,251.0
1732422362.8992205,257487,251.0
1732422365.0878508,257759,251.0
1732422371.0628884,258479,252.0
1732422383.8906236,260047,253.0
1732422409.0704014,263071,256.0
1732422423.6193902,264831,258.0
1732422429.8612893,265583,259.0
1732422435.2571023,266239,259.0
1732422457.0565197,268879,262.0
1732422461.1247048,269359,263.0
1732422479.5895038,271599,265.0
1732422483.8368404,272127,265.0
1732422486.4789414,272431,266.0
1732422489.7023413,272831,266.0
1732422492.529387,273183,266.0
1732422506.1941724,274831,268.0
1732422519.0059483,276399,269.0
1732422520.8776865,276607,270.0
1732422524.6074262,277071,270.0
1732422525.6346495,277199,270.0
1732422529.4739027,277647,271.0
1732422542.272484,279215,272.0
1732422572.3434272,282847,276.0
1732422575.9490457,283295,276.0
1732422580.7819695,283871,277.0
1732422586.8365345,284623,277.0
1732422612.7036884,287743,280.0
1732422619.7544606,288607,281.0
1732422637.0055606,290703,283.0
1732422637.1337276,290719,283.0
1732422655.387859,292911,286.0
1732422672.2935662,294927,288.0
1732422689.1141355,296911,289.0
1732422703.7945662,298687,291.0
1732422715.5876558,300095,293.0
1732422724.4062517,301167,294.0
1732422731.2316327,302015,294.0
1732422744.5461574,303615,296.0
1732422777.549933,307615,300.0
1732422778.3210583,307711,300.0
1732422792.4756632,309423,302.0
1732422794.2775776,309647,302.0
1732422804.3142908,310863,303.0
1732422805.0866551,310959,303.0
1732422819.253322,312671,305.0
1732422831.1768472,314127,306.0
1732422835.4880261,314639,307.0
1732422838.5712345,315023,307.0
1732422843.7910833,315647,308.0
1732422846.1096036,315935,308.0
1732422846.883983,316031,308.0
1732422847.2713144,316079,308.0
1732422857.113187,317279,309.0
1732422857.2420785,317295,309.0
1732422863.4164453,318031,310.0
1732422867.4851887,318511,311.0
1732422870.9672766,318943,311.0
1732422871.3532183,318991,311.0
1732422871.9968412,319071,311.0
1732422881.21781,320191,312.0
1732422889.0444908,321135,313.0
1732422896.4408517,322031,314.0
1732422902.3059175,322735,315.0
1732422907.57377,323391,315.0
1732422909.235737,323583,315.0
1732422909.4503531,323599,316.0
1732422912.2839737,323951,316.0
1732422914.3402061,324207,316.0
1732422931.5130243,326287,318.0
1732422940.4533372,327375,319.0
1732422940.8367693,327423,319.0
1732422940.965782,327439,319.0
1732422947.348907,328191,320.0
1732422950.4555364,328575,320.0
1732422979.7798362,332111,324.0
1732422988.0785828,333119,325.0
1732422996.5243535,334143,326.0
1732422999.4788344,334511,326.0
1732423010.4096892,335839,327.0
1732423010.7805781,335871,327.0
1732423011.5095265,335951,328.0
1732423020.2056077,337007,329.0
1732423022.5188088,337295,329.0
1732423032.2722094,338479,330.0
1732423037.3701193,339087,331.0
1732423057.8837392,341583,333.0
1732423063.4853063,342255,334.0
1732423072.7435143,343375,335.0
1732423076.0921247,343791,335.0
1732423078.8704605,344111,336.0
1732423079.6481068,344207,336.0
1732423100.1378133,346703,338.0
1732423131.2164,350463,342.0
1732423137.2574599,351215,342.0
1732423142.2207851,351807,343.0
1732423145.822515,352255,343.0
1732423160.656387,354047,345.0
1732423169.99705,355183,346.0
1732423181.8837574,356607,348.0
1732423198.7967284,358655,350.0
1732423208.5247831,359839,351.0
1732423220.3504975,361263,352.0
1732423220.7360609,361311,352.0
1732423247.378663,364543,355.0
1732423248.746995,364687,356.0
1732423253.1692107,365231,356.0
1732423254.458682,365391,356.0
1732423257.8789358,365791,357.0
1732423263.6685505,366511,357.0
1732423266.7072902,366863,358.0
1732423276.4177418,368047,359.0
1732423285.0176187,369087,360.0
1732423299.7011833,370863,362.0
1732423306.0098584,371647,362.0
1732423316.605929,372911,364.0
1732423318.0151975,373087,364.0
1732423320.581692,373407,364.0
1732423351.3732321,377135,368.0
1732423369.7476873,379359,370.0
1732423374.823239,379967,371.0
1732423378.5550778,380431,371.0
1732423389.813547,381807,372.0
1732423396.0667377,382559,373.0
1732423396.3233943,382591,373.0
1732423401.3253481,383183,374.0
1732423404.2865934,383551,374.0
1732423413.5829337,384671,375.0
1732423431.997065,386895,377.0
1732423440.3195298,387903,378.0
1732423453.0571961,389439,380.0
1732423454.0888991,389567,380.0
1732423476.7329898,392303,383.0
1732423480.9739041,392831,383.0
1732423490.7255034,393999,384.0
1732423495.8212059,394607,385.0
1732423506.950977,395967,386.0
1732423519.7836356,397503,388.0
1732423521.455078,397711,388.0
1732423522.611385,397855,388.0
1732423532.8512578,399103,389.0
1732423540.5123312,400031,390.0
1732423555.3788307,401823,392.0
1732423557.3086097,402063,392.0
1732423567.5549486,403311,393.0
1732423578.886853,404671,395.0
1732423595.2700512,406655,397.0
1732423599.7829058,407215,397.0
1732423609.40128,408383,398.0
1732423625.5003173,410335,400.0
1732423628.2800462,410655,401.0
1732423631.504974,411055,401.0
1732423639.8454323,412063,402.0
1732423641.6419516,412287,402.0
1732423657.6178844,414223,404.0
1732423659.0333574,414399,404.0
1732423672.0959346,415967,406.0
1732423680.8087711,417023,407.0
1732423707.6112058,420175,410.0
1732423724.5313463,422175,412.0
1732423724.6601126,422191,412.0
